Cod Vendas;Data;ID Loja;Produto;Quantidade;Valor Unitário;Valor Final
29171;2025-06-09;Loja 09;Blusa Manga Longa;3;84,28;252,84
29172;2023-07-12;Loja 20;Calça Moletom;5;100,83;504,15
29173;2025-03-12;Loja 08;Camiseta Básica;1;44,19;44,19
29174;2023-05-11;Loja 15;Calça Jeans;4;168,01;672,04
29175;2025-10-18;Loja 12;Camisa Polo;5;132,14;660,7
29176;2023-07-25;Loja 05;Tênis Corrida;2;167,31;334,62
29177;2024-11-20;Loja 16;Calça Moletom;2;124,61;249,22
29178;2023-05-21;Loja 05;Calça Moletom;4;101,05;404,2
29179;2024-02-17;Loja 05;Calça Moletom;1;105,03;105,03
29180;2025-09-12;Loja 15;Tênis Corrida;4;162,74;650,96
29181;2025-09-01;Loja 16;Camisa Polo;5;50,99;254,95
29182;2023-11-04;Loja 14;Camiseta Básica;2;149,56;299,12
29183;2024-02-11;Loja 08;Sapato Social;3;87,11;261,33
29184;2024-08-10;Loja 07;Chinelo;4;10,76;43,04
29185;2023-02-10;Loja 09;Camiseta Básica;5;43,91;219,55
29186;2023-04-28;Loja 02;Calça Moletom;5;119,34;596,7
29187;2024-11-22;Loja 09;Blusa Manga Longa;3;93,32;279,96
29188;2023-04-19;Loja 09;Chinelo;5;18,38;91,9
29189;2025-03-16;Loja 15;Shorts Sarja;3;67,67;203,01
29190;2024-06-19;Loja 16;Sapato Social;4;121,87;487,48
29191;2023-07-31;Loja 15;Sapato Social;1;170,19;170,19
29192;2023-08-18;Loja 06;Shorts Sarja;3;86,39;259,17
29193;2025-09-27;Loja 05;Shorts Sarja;1;40,44;40,44
29194;2025-09-07;Loja 07;Tênis Corrida;3;277,81;833,43
29195;2023-01-01;Loja 01;Bota Couro;1;113,09;113,09
29196;2023-09-19;Loja 10;Blusa Manga Longa;4;100,67;402,68
29197;2025-06-27;Loja 02;Camisa Polo;2;114,56;229,12
29198;2024-06-26;Loja 19;Tênis Corrida;4;110,68;442,72
29199;2023-09-13;Loja 14;Tênis Corrida;1;233,16;233,16
29200;2023-03-07;Loja 17;Tênis Esportivo;2;193,68;387,36
29201;2024-06-15;Loja 18;Bota Couro;3;347,12;1041,36
29202;2023-03-24;Loja 06;Tênis Corrida;1;138,5;138,5
29203;2023-01-27;Loja 02;Shorts Sarja;4;47,09;188,36
29204;2023-03-02;Loja 11;Camiseta Básica;3;62,27;186,81
29205;2024-07-08;Loja 02;Chinelo;4;36,29;145,16
29206;2023-10-12;Loja 14;Chinelo;5;48,18;240,9
29207;2023-12-27;Loja 04;Tênis Corrida;4;107,93;431,72
29208;2023-05-21;Loja 18;Chinelo;5;41,73;208,65
29209;2024-05-04;Loja 20;Camiseta Básica;3;68,25;204,75
29210;2024-01-07;Loja 17;Chinelo;5;43,49;217,45
29211;2023-02-26;Loja 18;Sapato Social;1;246,62;246,62
29212;2022-12-31;Loja 03;Tênis Esportivo;3;79,3;237,9
29213;2023-09-15;Loja 06;Blusa Manga Longa;5;38,49;192,45
29214;2023-12-24;Loja 15;Calça Jeans;5;171,14;855,7
29215;2025-04-13;Loja 16;Calça Jeans;1;109,66;109,66
29216;2025-05-07;Loja 20;Chinelo;3;19,92;59,76
29217;2023-07-26;Loja 07;Tênis Esportivo;3;157,25;471,75
29218;2025-07-09;Loja 10;Bota Couro;3;219,79;659,37
29219;2024-12-22;Loja 09;Bota Couro;3;222,07;666,21
29220;2024-07-11;Loja 11;Camiseta Básica;2;130,84;261,68
29221;2025-05-17;Loja 14;Sapatilha Casual;1;76,8;76,8
29222;2025-06-03;Loja 18;Calça Moletom;4;50,0;200,0
29223;2023-08-06;Loja 12;Chinelo;4;42,18;168,72
29224;2025-04-10;Loja 08;Camisa Polo;5;107,87;539,35
29225;2024-02-19;Loja 14;Chinelo;2;43,54;87,08
29226;2025-02-12;Loja 19;Tênis Corrida;3;296,45;889,35
29227;2024-09-21;Loja 02;Shorts Sarja;4;42,68;170,72
29228;2024-02-17;Loja 01;Shorts Sarja;5;53,91;269,55
29229;2023-04-26;Loja 17;Bota Couro;4;103,81;415,24
29230;2024-01-22;Loja 05;Camiseta Básica;3;127,79;383,37
29231;2024-07-15;Loja 18;Calça Jeans;2;96,51;193,02
29232;2025-08-15;Loja 12;Tênis Esportivo;2;160,52;321,04
29233;2024-06-04;Loja 19;Tênis Corrida;4;191,93;767,72
29234;2025-11-05;Loja 18;Bota Couro;4;338,56;1354,24
29235;2023-07-07;Loja 16;Blusa Manga Longa;4;52,51;210,04
29236;2023-01-11;Loja 13;Bota Couro;3;335,06;1005,18
29237;2024-02-04;Loja 04;Tênis Corrida;3;243,1;729,3
29238;2023-09-23;Loja 03;Shorts Sarja;5;43,94;219,7
29239;2025-03-26;Loja 05;Sapato Social;4;218,74;874,96
29240;2023-12-15;Loja 16;Camisa Polo;2;71,11;142,22
29241;2023-02-13;Loja 12;Sapato Social;2;150,58;301,16
29242;2023-05-19;Loja 02;Tênis Corrida;3;95,43;286,29
29243;2023-11-25;Loja 02;Tênis Corrida;2;63,09;126,18
29244;2023-05-22;Loja 02;Tênis Corrida;3;105,1;315,3
29245;2024-09-11;Loja 10;Sapato Social;4;193,36;773,44
29246;2023-10-11;Loja 09;Shorts Sarja;4;73,36;293,44
29247;2025-02-13;Loja 20;Bota Couro;4;103,21;412,84
29248;2023-09-14;Loja 01;Tênis Esportivo;4;79,84;319,36
29249;2023-04-04;Loja 15;Sapato Social;4;88,49;353,96
29250;2023-01-16;Loja 15;Camisa Polo;5;50,09;250,45
29251;2024-06-08;Loja 19;Camiseta Básica;4;135,98;543,92
29252;2024-06-01;Loja 02;Shorts Sarja;1;37,85;37,85
29253;2022-12-13;Loja 13;Calça Jeans;5;119,3;596,5
29254;2025-05-06;Loja 05;Chinelo;4;25,25;101,0
29255;2024-05-31;Loja 17;Blusa Manga Longa;5;85,64;428,2
29256;2023-12-28;Loja 16;Blusa Manga Longa;1;74,45;74,45
29257;2025-09-29;Loja 14;Camiseta Básica;4;141,9;567,6
29258;2024-10-31;Loja 07;Camisa Polo;4;140,98;563,92
29259;2024-03-26;Loja 12;Calça Moletom;3;154,14;462,42
29260;2023-06-25;Loja 07;Tênis Esportivo;4;245,13;980,52
29261;2023-08-14;Loja 18;Blusa Manga Longa;2;54,63;109,26
29262;2023-07-14;Loja 11;Sapatilha Casual;1;35,09;35,09
29263;2025-02-21;Loja 02;Camisa Polo;5;84,26;421,3
29264;2023-04-02;Loja 02;Bota Couro;2;348,26;696,52
29265;2024-04-02;Loja 20;Calça Moletom;2;51,78;103,56
29266;2024-04-06;Loja 02;Sapatilha Casual;4;117,03;468,12
29267;2023-08-31;Loja 12;Camisa Polo;1;104,63;104,63
29268;2024-09-12;Loja 05;Calça Jeans;5;61,21;306,05
29269;2025-01-25;Loja 12;Tênis Esportivo;3;235,94;707,82
29270;2024-05-05;Loja 08;Shorts Sarja;2;31,75;63,5
29271;2024-02-18;Loja 02;Calça Moletom;3;105,24;315,72
29272;2023-04-09;Loja 19;Shorts Sarja;5;70,66;353,3
29273;2023-01-24;Loja 09;Calça Jeans;1;90,4;90,4
29274;2023-08-12;Loja 10;Chinelo;3;38,97;116,91
29275;2024-06-11;Loja 02;Chinelo;1;39,05;39,05
29276;2024-11-28;Loja 05;Blusa Manga Longa;1;76,27;76,27
29277;2023-09-26;Loja 03;Tênis Corrida;1;293,58;293,58
29278;2024-09-01;Loja 08;Camisa Polo;5;143,9;719,5
29279;2025-09-24;Loja 04;Chinelo;2;32,95;65,9
29280;2023-08-06;Loja 08;Calça Jeans;5;109,86;549,3
29281;2024-01-03;Loja 14;Blusa Manga Longa;3;72,21;216,63
29282;2023-09-23;Loja 10;Tênis Corrida;4;158,24;632,96
29283;2023-08-30;Loja 10;Camiseta Básica;3;106,52;319,56
29284;2024-11-23;Loja 06;Chinelo;5;12,93;64,65
29285;2025-09-10;Loja 04;Tênis Corrida;1;234,89;234,89
29286;2025-09-21;Loja 13;Tênis Corrida;4;198,9;795,6
29287;2025-06-15;Loja 10;Sapatilha Casual;3;83,32;249,96
29288;2024-01-13;Loja 07;Bota Couro;1;286,67;286,67
29289;2024-03-23;Loja 14;Sapato Social;4;133,03;532,12
29290;2023-12-30;Loja 16;Shorts Sarja;3;50,08;150,24
29291;2024-11-25;Loja 20;Bota Couro;4;118,98;475,92
29292;2024-06-12;Loja 15;Camisa Polo;4;87,59;350,36
29293;2023-12-11;Loja 12;Sapato Social;3;234,2;702,6
29294;2023-08-02;Loja 13;Sapato Social;2;87,47;174,94
29295;2025-03-18;Loja 01;Sapato Social;2;183,07;366,14
29296;2025-05-27;Loja 18;Calça Jeans;5;83,13;415,65
29297;2025-03-08;Loja 12;Tênis Corrida;3;160,97;482,91
29298;2023-10-09;Loja 16;Camiseta Básica;5;138,52;692,6
29299;2024-05-24;Loja 10;Calça Moletom;5;63,55;317,75
29300;2023-07-03;Loja 12;Sapatilha Casual;2;102,69;205,38
29301;2024-04-04;Loja 09;Shorts Sarja;1;73,38;73,38
29302;2025-06-13;Loja 12;Calça Jeans;3;105,44;316,32
29303;2025-10-21;Loja 16;Shorts Sarja;3;58,39;175,17
29304;2023-07-14;Loja 09;Sapatilha Casual;1;67,68;67,68
29305;2022-12-28;Loja 17;Calça Jeans;3;55,82;167,46
29306;2024-08-18;Loja 13;Sapatilha Casual;3;49,81;149,43
29307;2023-08-19;Loja 12;Tênis Corrida;3;104,91;314,73
29308;2024-10-11;Loja 12;Calça Moletom;1;58,67;58,67
29309;2022-12-05;Loja 12;Chinelo;5;46,04;230,2
29310;2024-10-07;Loja 03;Sapatilha Casual;3;114,54;343,62
29311;2024-11-15;Loja 08;Chinelo;3;29,69;89,07
29312;2025-06-18;Loja 16;Shorts Sarja;1;50,15;50,15
29313;2023-12-12;Loja 19;Chinelo;4;45,51;182,04
29314;2024-10-06;Loja 01;Calça Moletom;4;127,91;511,64
29315;2024-02-26;Loja 19;Shorts Sarja;2;84,58;169,16
29316;2025-08-29;Loja 06;Chinelo;1;27,74;27,74
29317;2025-02-08;Loja 09;Chinelo;3;44,86;134,58
29318;2023-12-29;Loja 03;Camisa Polo;4;127,05;508,2
29319;2025-04-08;Loja 19;Calça Moletom;2;144,63;289,26
29320;2023-11-30;Loja 11;Camiseta Básica;5;101,09;505,45
29321;2023-09-20;Loja 03;Sapato Social;2;206,68;413,36
29322;2023-04-17;Loja 09;Tênis Corrida;3;204,8;614,4
29323;2023-04-20;Loja 14;Tênis Esportivo;3;142,08;426,24
29324;2023-11-06;Loja 18;Camiseta Básica;4;126,2;504,8
29325;2024-11-25;Loja 16;Sapato Social;2;80,51;161,02
29326;2024-11-05;Loja 14;Tênis Esportivo;4;135,57;542,28
29327;2023-08-03;Loja 06;Chinelo;1;18,55;18,55
29328;2025-08-18;Loja 17;Sapatilha Casual;4;115,09;460,36
29329;2025-10-25;Loja 07;Sapato Social;3;212,71;638,13
29330;2023-02-27;Loja 16;Sapatilha Casual;3;73,2;219,6
29331;2024-05-23;Loja 10;Shorts Sarja;3;48,34;145,02
29332;2024-08-05;Loja 07;Tênis Corrida;3;161,33;483,99
29333;2025-07-02;Loja 19;Calça Jeans;1;132,47;132,47
29334;2025-04-06;Loja 08;Camiseta Básica;3;50,02;150,06
29335;2025-08-14;Loja 20;Calça Jeans;4;86,28;345,12
29336;2024-08-01;Loja 02;Calça Jeans;1;79,22;79,22
29337;2024-08-31;Loja 03;Shorts Sarja;3;69,44;208,32
29338;2023-03-23;Loja 16;Bota Couro;3;334,49;1003,47
29339;2025-10-10;Loja 07;Calça Jeans;5;87,65;438,25
29340;2023-07-29;Loja 10;Calça Moletom;2;164,49;328,98
29341;2025-06-30;Loja 04;Shorts Sarja;3;37,58;112,74
29342;2023-10-12;Loja 06;Bota Couro;3;196,02;588,06
29343;2024-03-09;Loja 15;Calça Moletom;5;51,21;256,05
29344;2023-01-26;Loja 11;Tênis Esportivo;3;100,05;300,15
29345;2025-02-01;Loja 18;Sapato Social;1;104,31;104,31
29346;2024-06-19;Loja 20;Tênis Esportivo;3;205,22;615,66
29347;2025-04-17;Loja 01;Sapato Social;4;129,72;518,88
29348;2025-07-04;Loja 07;Calça Moletom;1;160,34;160,34
29349;2023-07-29;Loja 14;Tênis Esportivo;5;193,0;965,0
29350;2024-10-08;Loja 05;Blusa Manga Longa;1;108,64;108,64
29351;2023-07-24;Loja 06;Camiseta Básica;3;52,04;156,12
29352;2025-10-28;Loja 11;Calça Moletom;1;51,56;51,56
29353;2024-10-23;Loja 04;Blusa Manga Longa;1;96,02;96,02
29354;2023-02-01;Loja 01;Bota Couro;4;212,66;850,64
29355;2024-11-01;Loja 05;Chinelo;3;31,87;95,61
29356;2023-02-01;Loja 01;Tênis Corrida;1;227,34;227,34
29357;2024-01-11;Loja 05;Camisa Polo;4;100,5;402,0
29358;2024-11-01;Loja 13;Tênis Esportivo;2;135,8;271,6
29359;2025-06-04;Loja 17;Shorts Sarja;3;37,32;111,96
29360;2023-01-24;Loja 16;Calça Moletom;3;131,11;393,33
29361;2024-04-10;Loja 15;Sapatilha Casual;3;90,46;271,38
29362;2023-11-24;Loja 07;Camiseta Básica;3;41,1;123,3
29363;2025-03-14;Loja 14;Chinelo;3;37,64;112,92
29364;2025-05-11;Loja 17;Blusa Manga Longa;1;105,74;105,74
29365;2025-09-17;Loja 09;Bota Couro;5;328,48;1642,4
29366;2025-07-28;Loja 01;Camiseta Básica;1;47,24;47,24
29367;2025-02-27;Loja 07;Sapato Social;1;200,26;200,26
29368;2025-09-13;Loja 05;Bota Couro;4;169,54;678,16
29369;2025-01-19;Loja 06;Blusa Manga Longa;1;94,75;94,75
29370;2023-11-12;Loja 19;Camiseta Básica;3;42,09;126,27
29371;2025-01-20;Loja 04;Tênis Corrida;4;296,67;1186,68
29372;2025-01-09;Loja 05;Bota Couro;5;226,58;1132,9
29373;2024-04-22;Loja 05;Chinelo;4;29,89;119,56
29374;2023-12-21;Loja 04;Shorts Sarja;5;74,98;374,9
29375;2025-02-11;Loja 15;Chinelo;2;20,57;41,14
29376;2025-10-11;Loja 09;Tênis Corrida;1;280,05;280,05
29377;2024-06-17;Loja 04;Chinelo;4;39,6;158,4
29378;2025-10-27;Loja 04;Bota Couro;5;142,93;714,65
29379;2024-05-21;Loja 09;Tênis Corrida;4;180,14;720,56
29380;2023-12-25;Loja 11;Calça Moletom;1;130,31;130,31
29381;2024-11-20;Loja 04;Sapatilha Casual;1;110,62;110,62
29382;2024-09-18;Loja 07;Sapato Social;5;220,64;1103,2
29383;2024-10-16;Loja 17;Sapato Social;4;222,81;891,24
29384;2025-03-11;Loja 06;Chinelo;5;45,89;229,45
29385;2024-01-17;Loja 13;Camiseta Básica;1;82,61;82,61
29386;2025-01-18;Loja 04;Sapatilha Casual;3;55,5;166,5
29387;2024-05-27;Loja 10;Camiseta Básica;5;47,74;238,7
29388;2023-09-22;Loja 09;Sapatilha Casual;1;39,91;39,91
29389;2022-12-21;Loja 13;Bota Couro;1;220,99;220,99
29390;2023-10-10;Loja 15;Camiseta Básica;3;125,76;377,28
29391;2024-04-13;Loja 04;Calça Moletom;2;115,44;230,88
29392;2023-08-18;Loja 02;Tênis Esportivo;4;130,59;522,36
29393;2023-08-27;Loja 11;Sapatilha Casual;5;99,98;499,9
29394;2025-02-17;Loja 16;Camisa Polo;5;48,83;244,15
29395;2025-03-20;Loja 05;Calça Jeans;3;134,29;402,87
29396;2024-11-27;Loja 04;Sapato Social;3;214,26;642,78
29397;2023-12-07;Loja 08;Calça Moletom;1;173,5;173,5
29398;2025-03-19;Loja 18;Bota Couro;4;226,64;906,56
29399;2024-10-03;Loja 07;Sapato Social;2;129,25;258,5
29400;2023-06-10;Loja 04;Camisa Polo;5;84,5;422,5
29401;2023-08-07;Loja 10;Tênis Corrida;3;244,65;733,95
29402;2024-12-17;Loja 12;Calça Moletom;1;150,13;150,13
29403;2024-07-22;Loja 11;Camiseta Básica;2;131,71;263,42
29404;2025-06-05;Loja 17;Blusa Manga Longa;5;83,39;416,95
29405;2024-04-07;Loja 19;Tênis Esportivo;3;66,3;198,9
29406;2024-02-08;Loja 07;Calça Moletom;2;87,6;175,2
29407;2023-05-19;Loja 01;Sapato Social;4;151,76;607,04
29408;2025-02-03;Loja 13;Camiseta Básica;4;148,51;594,04
29409;2023-04-27;Loja 05;Shorts Sarja;5;54,58;272,9
29410;2025-06-13;Loja 05;Tênis Corrida;2;214,46;428,92
29411;2025-10-27;Loja 20;Camisa Polo;1;130,23;130,23
29412;2025-11-15;Loja 14;Shorts Sarja;2;50,82;101,64
29413;2023-05-16;Loja 02;Camisa Polo;3;117,97;353,91
29414;2023-01-28;Loja 02;Sapatilha Casual;4;75,64;302,56
29415;2024-12-13;Loja 06;Sapato Social;4;81,72;326,88
29416;2025-05-18;Loja 20;Tênis Corrida;1;224,1;224,1
29417;2023-08-09;Loja 01;Tênis Corrida;1;262,22;262,22
29418;2024-02-19;Loja 09;Tênis Corrida;4;96,14;384,56
29419;2024-06-26;Loja 09;Sapato Social;3;174,62;523,86
29420;2025-10-17;Loja 03;Tênis Esportivo;1;225,44;225,44
29421;2023-09-19;Loja 01;Shorts Sarja;5;68,3;341,5
29422;2025-09-13;Loja 11;Camisa Polo;2;40,72;81,44
29423;2024-10-04;Loja 18;Blusa Manga Longa;4;60,42;241,68
29424;2024-08-18;Loja 06;Camiseta Básica;2;122,05;244,1
29425;2023-12-09;Loja 03;Camiseta Básica;1;148,17;148,17
29426;2023-03-11;Loja 04;Blusa Manga Longa;2;88,59;177,18
29427;2023-01-07;Loja 19;Tênis Esportivo;2;165,2;330,4
29428;2023-05-04;Loja 01;Sapatilha Casual;4;74,29;297,16
29429;2024-02-23;Loja 16;Calça Moletom;2;139,6;279,2
29430;2025-11-08;Loja 19;Calça Jeans;4;54,13;216,52
29431;2025-04-02;Loja 12;Sapatilha Casual;2;50,6;101,2
29432;2024-12-28;Loja 11;Camiseta Básica;4;100,51;402,04
29433;2024-05-21;Loja 04;Sapatilha Casual;4;43,99;175,96
29434;2023-09-17;Loja 09;Camiseta Básica;5;104,5;522,5
29435;2024-12-22;Loja 04;Bota Couro;4;260,67;1042,68
29436;2024-10-02;Loja 05;Blusa Manga Longa;5;78,0;390,0
29437;2022-12-18;Loja 18;Tênis Esportivo;1;96,91;96,91
29438;2023-04-19;Loja 12;Bota Couro;1;261,11;261,11
29439;2022-12-20;Loja 18;Calça Moletom;1;161,94;161,94
29440;2025-07-08;Loja 14;Blusa Manga Longa;3;102,06;306,18
29441;2025-11-01;Loja 02;Camisa Polo;2;113,1;226,2
29442;2023-05-21;Loja 03;Blusa Manga Longa;4;55,21;220,84
29443;2024-12-22;Loja 03;Calça Jeans;5;165,5;827,5
29444;2023-12-05;Loja 20;Blusa Manga Longa;3;41,83;125,49
29445;2024-02-06;Loja 10;Calça Jeans;1;60,1;60,1
29446;2025-09-14;Loja 20;Shorts Sarja;1;59,89;59,89
29447;2023-04-14;Loja 01;Chinelo;5;31,97;159,85
29448;2024-06-08;Loja 07;Tênis Esportivo;1;267,91;267,91
29449;2024-07-30;Loja 16;Chinelo;4;38,48;153,92
29450;2023-09-30;Loja 20;Calça Jeans;5;110,46;552,3
29451;2025-05-09;Loja 09;Bota Couro;4;115,67;462,68
29452;2023-09-16;Loja 12;Chinelo;2;37,7;75,4
29453;2023-03-01;Loja 11;Calça Jeans;4;91,18;364,72
29454;2023-11-08;Loja 20;Bota Couro;5;164,17;820,85
29455;2023-02-24;Loja 09;Chinelo;5;34,75;173,75
29456;2024-08-20;Loja 17;Camiseta Básica;5;147,85;739,25
29457;2024-05-14;Loja 16;Chinelo;2;38,64;77,28
29458;2025-11-10;Loja 17;Calça Moletom;1;54,54;54,54
29459;2025-04-11;Loja 10;Tênis Corrida;1;146,81;146,81
29460;2025-04-09;Loja 05;Sapato Social;4;113,7;454,8
29461;2024-12-12;Loja 18;Calça Jeans;3;81,87;245,61
29462;2023-12-31;Loja 17;Camiseta Básica;1;133,22;133,22
29463;2023-01-16;Loja 08;Camisa Polo;2;134,08;268,16
29464;2022-12-31;Loja 05;Sapatilha Casual;1;92,64;92,64
29465;2023-07-23;Loja 15;Tênis Esportivo;5;181,61;908,05
29466;2024-11-26;Loja 03;Tênis Esportivo;1;66,47;66,47
29467;2024-03-11;Loja 01;Shorts Sarja;2;69,95;139,9
29468;2024-10-27;Loja 10;Shorts Sarja;2;65,66;131,32
29469;2025-08-24;Loja 15;Calça Jeans;5;142,96;714,8
29470;2023-05-28;Loja 14;Bota Couro;3;299,94;899,82
29471;2024-07-18;Loja 06;Tênis Corrida;4;142,43;569,72
29472;2023-11-07;Loja 08;Camisa Polo;4;98,98;395,92
29473;2024-12-03;Loja 10;Calça Moletom;3;107,23;321,69
29474;2025-09-11;Loja 08;Camiseta Básica;4;41,33;165,32
29475;2025-08-09;Loja 11;Calça Jeans;3;175,58;526,74
29476;2024-07-03;Loja 06;Tênis Esportivo;2;83,94;167,88
29477;2022-12-28;Loja 20;Shorts Sarja;5;47,61;238,05
29478;2024-01-19;Loja 16;Calça Moletom;2;70,36;140,72
29479;2024-02-12;Loja 16;Tênis Esportivo;3;101,68;305,04
29480;2023-03-05;Loja 18;Chinelo;1;33,13;33,13
29481;2025-05-14;Loja 16;Tênis Corrida;1;98,64;98,64
29482;2025-10-23;Loja 12;Chinelo;2;37,43;74,86
29483;2023-05-26;Loja 20;Tênis Corrida;1;294,65;294,65
29484;2023-10-07;Loja 06;Shorts Sarja;3;87,12;261,36
29485;2024-05-22;Loja 16;Tênis Corrida;3;192,91;578,73
29486;2025-08-07;Loja 03;Blusa Manga Longa;1;91,47;91,47
29487;2023-11-20;Loja 19;Tênis Esportivo;5;169,34;846,7
29488;2025-01-08;Loja 09;Calça Moletom;4;90,69;362,76
29489;2023-11-21;Loja 13;Calça Jeans;5;112,96;564,8
29490;2023-09-27;Loja 17;Bota Couro;2;311,69;623,38
29491;2024-03-11;Loja 11;Sapatilha Casual;2;111,83;223,66
29492;2024-08-23;Loja 05;Calça Moletom;1;149,75;149,75
29493;2024-11-22;Loja 13;Tênis Corrida;2;142,15;284,3
29494;2024-01-30;Loja 17;Calça Jeans;1;51,01;51,01
29495;2025-09-06;Loja 04;Bota Couro;5;111,79;558,95
29496;2024-06-27;Loja 18;Camisa Polo;4;68,01;272,04
29497;2025-05-06;Loja 15;Shorts Sarja;5;86,85;434,25
29498;2023-06-13;Loja 12;Calça Jeans;5;179,78;898,9
29499;2023-01-22;Loja 16;Shorts Sarja;3;47,18;141,54
29500;2025-04-25;Loja 12;Shorts Sarja;3;45,92;137,76
29501;2024-03-13;Loja 14;Tênis Corrida;4;93,88;375,52
29502;2024-02-29;Loja 05;Tênis Corrida;1;177,37;177,37
29503;2024-11-28;Loja 16;Sapatilha Casual;2;115,29;230,58
29504;2023-09-28;Loja 18;Tênis Corrida;3;118,07;354,21
29505;2023-04-23;Loja 11;Shorts Sarja;1;41,15;41,15
29506;2025-10-27;Loja 05;Tênis Esportivo;3;231,37;694,11
29507;2024-12-29;Loja 15;Calça Moletom;5;87,5;437,5
29508;2022-11-29;Loja 12;Shorts Sarja;3;79,58;238,74
29509;2024-12-29;Loja 12;Bota Couro;3;187,75;563,25
29510;2023-07-14;Loja 13;Camisa Polo;3;119,19;357,57
29511;2025-04-11;Loja 12;Sapato Social;5;92,2;461,0
29512;2024-06-25;Loja 07;Camisa Polo;3;105,76;317,28
29513;2024-11-10;Loja 07;Bota Couro;1;317,71;317,71
29514;2025-01-07;Loja 18;Sapatilha Casual;1;75,81;75,81
29515;2024-10-06;Loja 15;Shorts Sarja;5;44,7;223,5
29516;2025-05-16;Loja 18;Tênis Esportivo;2;186,01;372,02
29517;2024-08-30;Loja 19;Bota Couro;3;125,21;375,63
29518;2023-11-28;Loja 11;Sapatilha Casual;1;100,28;100,28
29519;2024-10-13;Loja 10;Calça Moletom;1;100,92;100,92
29520;2025-04-20;Loja 17;Bota Couro;5;132,03;660,15
29521;2025-07-11;Loja 14;Chinelo;4;41,75;167,0
29522;2023-10-06;Loja 09;Calça Moletom;5;65,16;325,8
29523;2023-03-14;Loja 20;Calça Moletom;2;53,74;107,48
29524;2023-05-03;Loja 07;Sapato Social;5;118,84;594,2
29525;2024-01-25;Loja 19;Blusa Manga Longa;2;76,23;152,46
29526;2024-04-23;Loja 11;Sapato Social;3;136,97;410,91
29527;2025-01-05;Loja 19;Shorts Sarja;5;69,07;345,35
29528;2024-06-09;Loja 14;Camisa Polo;1;108,31;108,31
29529;2024-08-27;Loja 08;Bota Couro;3;250,97;752,91
29530;2025-09-25;Loja 05;Camisa Polo;4;120,64;482,56
29531;2024-04-23;Loja 13;Sapato Social;1;82,43;82,43
29532;2024-03-25;Loja 11;Camisa Polo;5;48,76;243,8
29533;2025-08-01;Loja 09;Sapatilha Casual;5;91,17;455,85
29534;2024-07-15;Loja 07;Blusa Manga Longa;2;107,28;214,56
29535;2024-03-02;Loja 04;Camiseta Básica;4;99,99;399,96
29536;2025-03-03;Loja 02;Camisa Polo;3;114,45;343,35
29537;2023-11-03;Loja 10;Bota Couro;5;333,57;1667,85
29538;2024-12-18;Loja 10;Tênis Corrida;5;111,34;556,7
29539;2022-12-03;Loja 19;Blusa Manga Longa;2;95,74;191,48
29540;2023-06-10;Loja 14;Bota Couro;3;249,32;747,96
29541;2025-08-13;Loja 13;Chinelo;4;24,15;96,6
29542;2024-07-22;Loja 03;Camiseta Básica;2;129,5;259,0
29543;2024-12-31;Loja 13;Shorts Sarja;2;82,61;165,22
29544;2022-12-25;Loja 03;Shorts Sarja;1;40,87;40,87
29545;2024-04-03;Loja 01;Camisa Polo;1;76,84;76,84
29546;2024-03-29;Loja 06;Calça Moletom;1;126,54;126,54
29547;2024-05-24;Loja 08;Tênis Corrida;5;100,84;504,2
29548;2024-03-01;Loja 14;Sapatilha Casual;1;117,02;117,02
29549;2022-12-31;Loja 07;Blusa Manga Longa;4;109,63;438,52
29550;2024-01-12;Loja 12;Tênis Corrida;5;105,06;525,3
29551;2023-07-09;Loja 05;Calça Jeans;2;153,63;307,26
29552;2022-12-24;Loja 07;Calça Moletom;4;97,36;389,44
29553;2024-08-08;Loja 12;Bota Couro;4;212,39;849,56
29554;2025-04-21;Loja 07;Camiseta Básica;4;61,78;247,12
29555;2024-10-15;Loja 13;Calça Jeans;5;150,59;752,95
29556;2023-10-01;Loja 06;Camiseta Básica;1;58,8;58,8
29557;2025-04-29;Loja 19;Camiseta Básica;4;49,76;199,04
29558;2025-11-04;Loja 16;Calça Moletom;5;164,76;823,8
29559;2023-04-02;Loja 18;Sapato Social;3;119,16;357,48
29560;2023-03-27;Loja 07;Camiseta Básica;5;47,91;239,55
29561;2023-05-18;Loja 15;Sapatilha Casual;1;106,92;106,92
29562;2025-01-28;Loja 20;Calça Moletom;2;103,64;207,28
29563;2025-06-04;Loja 19;Shorts Sarja;4;64,26;257,04
29564;2024-07-04;Loja 04;Calça Jeans;2;174,86;349,72
29565;2024-06-20;Loja 11;Calça Moletom;1;56,98;56,98
29566;2024-12-23;Loja 03;Blusa Manga Longa;2;98,85;197,7
29567;2023-07-31;Loja 04;Blusa Manga Longa;4;36,82;147,28
29568;2024-08-07;Loja 04;Calça Moletom;3;175,38;526,14
29569;2023-04-27;Loja 05;Camiseta Básica;3;51,63;154,89
29570;2025-02-04;Loja 15;Shorts Sarja;1;41,72;41,72
29571;2025-06-21;Loja 03;Camisa Polo;1;67,82;67,82
29572;2025-04-01;Loja 14;Chinelo;3;16,67;50,01
29573;2024-03-30;Loja 14;Sapato Social;1;213,12;213,12
29574;2023-10-29;Loja 07;Calça Jeans;3;94,86;284,58
29575;2024-08-25;Loja 18;Calça Jeans;5;96,66;483,3
